CLASS	METHOD	PARAMETER	INDEX
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs	recordDeepStubAnswer(java.lang.Object,org.mockito.internal.stubbing.InvocationContainerImpl)	container	1
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs$ReturnsDeepStubsSerializationFallback	ReturnsDeepStubsSerializationFallback(org.mockito.internal.util.reflection.GenericMetadataSupport)	returnTypeGenericMetadata	0
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs$DeeplyStubbedAnswer	DeeplyStubbedAnswer(java.lang.Object)	mock	0
org.mockito.internal.util.reflection.GenericMetadataSupport	registerAllTypeVariables(java.lang.reflect.Type)	classType	0
org.mockito.internal.util.reflection.GenericMetadataSupport	extractRawTypeOf(java.lang.reflect.Type)	type	0
org.mockito.internal.util.reflection.GenericMetadataSupport	registerTypeVariablesOn(java.lang.reflect.Type)	classType	0
org.mockito.internal.util.reflection.GenericMetadataSupport	registerTypeParametersOn(java.lang.reflect.TypeVariable[])	typeParameters	0
org.mockito.internal.util.reflection.GenericMetadataSupport	registerTypeVariableIfNotPresent(java.lang.reflect.TypeVariable)	typeVariable	0
org.mockito.internal.util.reflection.GenericMetadataSupport	boundsOf(java.lang.reflect.TypeVariable)	typeParameter	0
org.mockito.internal.util.reflection.GenericMetadataSupport	boundsOf(java.lang.reflect.WildcardType)	wildCard	0
org.mockito.internal.util.reflection.GenericMetadataSupport	getActualTypeArgumentFor(java.lang.reflect.TypeVariable)	typeParameter	0
org.mockito.internal.util.reflection.GenericMetadataSupport	resolveGenericReturnType(java.lang.reflect.Method)	method	0
org.mockito.internal.util.reflection.GenericMetadataSupport	resolveGenericType(java.lang.reflect.Type,java.lang.reflect.Method)	type	0
org.mockito.internal.util.reflection.GenericMetadataSupport	resolveGenericType(java.lang.reflect.Type,java.lang.reflect.Method)	method	1
org.mockito.internal.util.reflection.GenericMetadataSupport	inferFrom(java.lang.reflect.Type)	type	0
org.mockito.internal.util.reflection.GenericMetadataSupport$FromClassGenericMetadataSupport	FromClassGenericMetadataSupport(java.lang.Class)	clazz	0
org.mockito.internal.util.reflection.GenericMetadataSupport$FromParameterizedTypeGenericMetadataSupport	FromParameterizedTypeGenericMetadataSupport(java.lang.reflect.ParameterizedType)	parameterizedType	0
org.mockito.internal.util.reflection.GenericMetadataSupport$ParameterizedReturnType	ParameterizedReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.TypeVariable[],java.lang.reflect.ParameterizedType)	source	0
org.mockito.internal.util.reflection.GenericMetadataSupport$ParameterizedReturnType	ParameterizedReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.TypeVariable[],java.lang.reflect.ParameterizedType)	typeParameters	1
org.mockito.internal.util.reflection.GenericMetadataSupport$ParameterizedReturnType	ParameterizedReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.TypeVariable[],java.lang.reflect.ParameterizedType)	parameterizedType	2
org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	TypeVariableReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.TypeVariable[],java.lang.reflect.TypeVariable)	typeVariable	2
org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	TypeVariableReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.TypeVariable[],java.lang.reflect.TypeVariable)	typeParameters	1
org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	TypeVariableReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.TypeVariable[],java.lang.reflect.TypeVariable)	source	0
org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	extractActualBoundedTypeOf(java.lang.reflect.Type)	type	0
org.mockito.internal.util.reflection.GenericMetadataSupport$GenericArrayReturnType	GenericArrayReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,int)	arity	1
org.mockito.internal.util.reflection.GenericMetadataSupport$GenericArrayReturnType	GenericArrayReturnType(org.mockito.internal.util.reflection.GenericMetadataSupport,int)	genericArrayType	0
org.mockito.internal.util.reflection.GenericMetadataSupport$NotGenericReturnTypeSupport	NotGenericReturnTypeSupport(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.Type)	source	0
org.mockito.internal.util.reflection.GenericMetadataSupport$NotGenericReturnTypeSupport	NotGenericReturnTypeSupport(org.mockito.internal.util.reflection.GenericMetadataSupport,java.lang.reflect.Type)	genericReturnType	1
org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVarBoundedType	TypeVarBoundedType(java.lang.reflect.TypeVariable)	typeVariable	0
org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVarBoundedType	equals(java.lang.Object)	o	0
org.mockito.internal.util.reflection.GenericMetadataSupport$WildCardBoundedType	WildCardBoundedType(java.lang.reflect.WildcardType)	wildcard	0
org.mockito.internal.util.reflection.GenericMetadataSupport$WildCardBoundedType	equals(java.lang.Object)	o	0
org.mockito.internal.util.ObjectMethodsGuru	isToStringMethod(java.lang.reflect.Method)	method	0
org.mockito.internal.util.ObjectMethodsGuru	isCompareToMethod(java.lang.reflect.Method)	method	0
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues	answer(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues	returnValueFor(java.lang.Class)	type	0
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls$1	apply(java.lang.Class)	type	0
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls$ThrowsSmartNullPointer	ThrowsSmartNullPointer(org.mockito.invocation.InvocationOnMock,org.mockito.invocation.Location)	location	1
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls$ThrowsSmartNullPointer	ThrowsSmartNullPointer(org.mockito.invocation.InvocationOnMock,org.mockito.invocation.Location)	unstubbedInvocation	0
org.mockito.internal.stubbing.defaultanswers.TriesToReturnSelf	answer(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers	returnTypeForMockWithCorrectGenerics(org.mockito.invocation.InvocationOnMock,org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers.AnswerCallback)	invocation	0
org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers	returnTypeForMockWithCorrectGenerics(org.mockito.invocation.InvocationOnMock,org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers.AnswerCallback)	answerCallback	1
org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers	delegateChains(java.lang.Class)	type	0
org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers	findTypeFromGenericInArguments(org.mockito.invocation.InvocationOnMock,java.lang.reflect.TypeVariable)	returnType	1
org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers	findTypeFromGenericInArguments(org.mockito.invocation.InvocationOnMock,java.lang.reflect.TypeVariable)	invocation	0
org.mockito.internal.stubbing.defaultanswers.ReturnsMocks$1	apply(java.lang.Class)	type	0
org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations	ForwardsInvocations(java.lang.Object)	delegatedObject	0
org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations	answer(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations	getDelegateMethod(java.lang.reflect.Method)	mockMethod	0
org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations	compatibleReturnTypes(java.lang.Class,java.lang.Class)	subType	1
org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations	compatibleReturnTypes(java.lang.Class,java.lang.Class)	superType	0
org.mockito.internal.stubbing.defaultanswers.ReturnsMoreEmptyValues	answer(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.defaultanswers.ReturnsMoreEmptyValues	returnValueFor(java.lang.Class)	type	0
org.mockito.internal.stubbing.StrictnessSelector	determineStrictness(org.mockito.stubbing.Stubbing,org.mockito.mock.MockCreationSettings,org.mockito.quality.Strictness)	mockSettings	1
org.mockito.internal.stubbing.StrictnessSelector	determineStrictness(org.mockito.stubbing.Stubbing,org.mockito.mock.MockCreationSettings,org.mockito.quality.Strictness)	stubbing	0
org.mockito.internal.stubbing.StrictnessSelector	determineStrictness(org.mockito.stubbing.Stubbing,org.mockito.mock.MockCreationSettings,org.mockito.quality.Strictness)	testLevelStrictness	2
org.mockito.internal.stubbing.OngoingStubbingImpl	OngoingStubbingImpl(org.mockito.internal.stubbing.InvocationContainerImpl)	invocationContainer	0
org.mockito.internal.stubbing.OngoingStubbingImpl	setStrictness(org.mockito.quality.Strictness)	strictness	0
org.mockito.internal.invocation.InvocationComparator	compare(org.mockito.invocation.Invocation,org.mockito.invocation.Invocation)	o2	1
org.mockito.internal.invocation.InvocationComparator	compare(org.mockito.invocation.Invocation,org.mockito.invocation.Invocation)	o1	0
org.mockito.internal.stubbing.answers.DoesNothing	validateFor(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.StubberImpl	StubberImpl(org.mockito.quality.Strictness)	strictness	0
org.mockito.internal.stubbing.StubberImpl	when(T)	mock	0
org.mockito.internal.stubbing.StubberImpl	doReturnValues(java.lang.Object[])	toBeReturned	0
org.mockito.internal.stubbing.StubberImpl	doThrow(java.lang.Throwable[])	toBeThrown	0
org.mockito.internal.stubbing.StubberImpl	doThrow(java.lang.Class)	toBeThrown	0
org.mockito.internal.stubbing.StubberImpl	doThrow(java.lang.Class,java.lang.Class[])	nextToBeThrown	1
org.mockito.internal.stubbing.StubberImpl	doAnswer(org.mockito.stubbing.Answer)	answer	0
org.mockito.internal.stubbing.answers.DefaultAnswerValidator	validateReturnValueFor(org.mockito.invocation.InvocationOnMock,java.lang.Object)	invocation	0
org.mockito.internal.stubbing.answers.DefaultAnswerValidator	validateReturnValueFor(org.mockito.invocation.InvocationOnMock,java.lang.Object)	returnedValue	1
org.mockito.internal.stubbing.answers.Returns	Returns(java.lang.Object)	value	0
org.mockito.internal.stubbing.answers.Returns	validateFor(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.Answers	Answers(org.mockito.stubbing.Answer)	implementation	0
org.mockito.internal.stubbing.answers.CallsRealMethods	answer(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.answers.CallsRealMethods	validateFor(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	ReturnsArgumentAt(int)	wantedArgumentPosition	0
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	answer(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	inferWantedArgumentPosition(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	validateArgumentTypeCompatibility(org.mockito.invocation.Invocation,int)	invocation	0
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	wantedArgIndexIsVarargAndSameTypeAsReturnType(java.lang.reflect.Method,int)	argumentPosition	1
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	wantedArgIndexIsVarargAndSameTypeAsReturnType(java.lang.reflect.Method,int)	method	0
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	wantedArgumentPositionIsValidForInvocation(org.mockito.invocation.InvocationOnMock,int)	invocation	0
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	wantedArgumentPositionIsValidForInvocation(org.mockito.invocation.InvocationOnMock,int)	argumentPosition	1
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	inferArgumentType(org.mockito.invocation.Invocation,int)	argumentIndex	1
org.mockito.internal.stubbing.answers.ReturnsArgumentAt	inferArgumentType(org.mockito.invocation.Invocation,int)	invocation	0
org.mockito.internal.stubbing.answers.AnswersWithDelay	AnswersWithDelay(long,org.mockito.stubbing.Answer)	answer	1
org.mockito.internal.stubbing.answers.AnswersWithDelay	AnswersWithDelay(long,org.mockito.stubbing.Answer)	sleepyTime	0
org.mockito.internal.stubbing.answers.AbstractThrowsException	validateFor(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.exceptions.stacktrace.ConditionalStackTraceFilter	filter(java.lang.Throwable)	throwable	0
org.mockito.internal.exceptions.stacktrace.StackTraceFilter	filter(java.lang.StackTraceElement[],boolean)	target	0
org.mockito.internal.exceptions.stacktrace.StackTraceFilter	filterFirst(java.lang.Throwable,boolean)	target	0
org.mockito.internal.exceptions.stacktrace.StackTraceFilter	filterFirst(java.lang.Throwable,boolean)	isInline	1
org.mockito.internal.exceptions.stacktrace.StackTraceFilter	findSourceFile(java.lang.StackTraceElement[],java.lang.String)	defaultValue	1
org.mockito.internal.exceptions.stacktrace.StackTraceFilter	findSourceFile(java.lang.StackTraceElement[],java.lang.String)	target	0
org.mockito.internal.stubbing.answers.ThrowsExceptionForClassType	ThrowsExceptionForClassType(java.lang.Class)	throwableClass	0
org.mockito.internal.stubbing.answers.ClonesArguments	answer(org.mockito.invocation.InvocationOnMock)	invocation	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.Answer1)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.VoidAnswer1)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.Answer2)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.VoidAnswer2)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.Answer3)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.VoidAnswer3)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.Answer4)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.VoidAnswer4)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.Answer5)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.VoidAnswer5)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.Answer6)	answer	0
org.mockito.internal.stubbing.answers.AnswerFunctionalInterfaces	toAnswer(org.mockito.stubbing.VoidAnswer6)	answer	0
org.mockito.internal.stubbing.answers.ThrowsException	ThrowsException(java.lang.Throwable)	throwable	0
org.mockito.internal.stubbing.answers.InvocationInfo	InvocationInfo(org.mockito.invocation.InvocationOnMock)	theInvocation	0
org.mockito.internal.stubbing.answers.InvocationInfo	isValidException(java.lang.Throwable)	throwable	0
org.mockito.internal.stubbing.answers.InvocationInfo	isValidReturnType(java.lang.Class)	clazz	0
org.mockito.internal.stubbing.answers.ReturnsElementsOf	ReturnsElementsOf(java.util.Collection)	elements	0
org.mockito.internal.util.collections.Sets	newSet(T[])	elements	0
org.mockito.internal.creation.MockSettingsImpl	serializable(org.mockito.mock.SerializableMode)	mode	0
org.mockito.internal.creation.MockSettingsImpl	extraInterfaces(java.lang.Class[])	extraInterfaces	0
org.mockito.internal.creation.MockSettingsImpl	name(java.lang.String)	name	0
org.mockito.internal.creation.MockSettingsImpl	spiedInstance(java.lang.Object)	spiedInstance	0
org.mockito.internal.creation.MockSettingsImpl	defaultAnswer(org.mockito.stubbing.Answer)	defaultAnswer	0
org.mockito.internal.creation.MockSettingsImpl	useConstructor(java.lang.Object[])	constructorArgs	0
org.mockito.internal.creation.MockSettingsImpl	outerInstance(java.lang.Object)	outerClassInstance	0
org.mockito.internal.creation.MockSettingsImpl	addListeners(T[],java.util.List,java.lang.String)	listeners	0
org.mockito.internal.creation.MockSettingsImpl	addListeners(T[],java.util.List,java.lang.String)	container	1
org.mockito.internal.creation.MockSettingsImpl	invocationListenersContainsType(java.lang.Class)	clazz	0
org.mockito.internal.creation.MockSettingsImpl	validatedSettings(java.lang.Class,org.mockito.internal.creation.settings.CreationSettings)	source	1
org.mockito.internal.creation.MockSettingsImpl	validatedStaticSettings(java.lang.Class,org.mockito.internal.creation.settings.CreationSettings)	source	1
org.mockito.internal.creation.MockSettingsImpl	validatedStaticSettings(java.lang.Class,org.mockito.internal.creation.settings.CreationSettings)	classToMock	0
org.mockito.internal.creation.MockSettingsImpl	prepareExtraInterfaces(org.mockito.internal.creation.settings.CreationSettings)	settings	0
org.mockito.internal.creation.SuspendMethod	trimSuspendParameterTypes(java.lang.Class[])	parameterTypes	0
org.mockito.internal.creation.SuspendMethod	isContinuationType(java.lang.Class)	parameterType	0
org.mockito.internal.creation.DelegatingMethod	DelegatingMethod(java.lang.reflect.Method)	method	0
org.mockito.internal.creation.DelegatingMethod	equals(java.lang.Object)	o	0
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator	TypeCachingBytecodeGenerator(org.mockito.internal.creation.bytebuddy.BytecodeGenerator,boolean)	weak	1
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator	TypeCachingBytecodeGenerator(org.mockito.internal.creation.bytebuddy.BytecodeGenerator,boolean)	bytecodeGenerator	0
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator	mockClass(org.mockito.internal.creation.bytebuddy.MockFeatures)	params	0
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator$MockitoMockKey	MockitoMockKey(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	stripAnnotations	3
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator$MockitoMockKey	MockitoMockKey(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	type	0
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator$MockitoMockKey	MockitoMockKey(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	additionalType	1
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator$MockitoMockKey	MockitoMockKey(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	serializableMode	2
org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator$MockitoMockKey	equals(java.lang.Object)	object	0
org.mockito.internal.creation.bytebuddy.MockFeatures	MockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	mockedType	0
org.mockito.internal.creation.bytebuddy.MockFeatures	MockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	serializableMode	2
org.mockito.internal.creation.bytebuddy.MockFeatures	MockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	interfaces	1
org.mockito.internal.creation.bytebuddy.MockFeatures	MockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	stripAnnotations	3
org.mockito.internal.creation.bytebuddy.MockFeatures	withMockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	stripAnnotations	3
org.mockito.internal.creation.bytebuddy.MockFeatures	withMockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	mockedType	0
org.mockito.internal.creation.bytebuddy.MockFeatures	withMockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	serializableMode	2
org.mockito.internal.creation.bytebuddy.MockFeatures	withMockFeatures(java.lang.Class,java.util.Set,org.mockito.mock.SerializableMode,boolean)	interfaces	1
org.mockito.internal.creation.bytebuddy.ModuleHandler	make(net.bytebuddy.ByteBuddy,org.mockito.internal.creation.bytebuddy.SubclassLoader,java.util.Random)	loader	1
org.mockito.internal.creation.bytebuddy.ModuleHandler	make(net.bytebuddy.ByteBuddy,org.mockito.internal.creation.bytebuddy.SubclassLoader,java.util.Random)	random	2
org.mockito.internal.creation.bytebuddy.ModuleHandler	make(net.bytebuddy.ByteBuddy,org.mockito.internal.creation.bytebuddy.SubclassLoader,java.util.Random)	byteBuddy	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	ModuleSystemFound(net.bytebuddy.ByteBuddy,org.mockito.internal.creation.bytebuddy.SubclassLoader,java.util.Random)	random	2
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	ModuleSystemFound(net.bytebuddy.ByteBuddy,org.mockito.internal.creation.bytebuddy.SubclassLoader,java.util.Random)	loader	1
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	ModuleSystemFound(net.bytebuddy.ByteBuddy,org.mockito.internal.creation.bytebuddy.SubclassLoader,java.util.Random)	byteBuddy	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	isOpened(java.lang.Class,java.lang.Class)	source	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	isExported(java.lang.Class)	source	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	isExported(java.lang.Class,java.lang.Class)	source	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	injectionBase(java.lang.ClassLoader,java.lang.String)	typeName	1
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	injectionBase(java.lang.ClassLoader,java.lang.String)	classLoader	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	adjustModuleGraph(java.lang.Class,java.lang.Class,boolean,boolean)	source	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	adjustModuleGraph(java.lang.Class,java.lang.Class,boolean,boolean)	read	3
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	adjustModuleGraph(java.lang.Class,java.lang.Class,boolean,boolean)	target	1
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	adjustModuleGraph(java.lang.Class,java.lang.Class,boolean,boolean)	export	2
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	invoke(java.lang.reflect.Method,java.lang.Object,java.lang.Object[])	args	2
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	invoke(java.lang.reflect.Method,java.lang.Object,java.lang.Object[])	method	0
org.mockito.internal.creation.bytebuddy.ModuleHandler$ModuleSystemFound	invoke(java.lang.reflect.Method,java.lang.Object,java.lang.Object[])	target	1
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	get(java.lang.String,java.lang.Object)	mock	1
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	get(java.lang.String,java.lang.Object)	identifier	0
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	getStatic(java.lang.String,java.lang.Class)	identifier	0
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	getStatic(java.lang.String,java.lang.Class)	type	1
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	set(java.lang.String,org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher)	dispatcher	1
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	set(java.lang.String,org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher)	identifier	0
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	isConstructorMock(java.lang.String,java.lang.Class)	identifier	0
org.mockito.internal.creation.bytebuddy.inject.MockMethodDispatcher	handleConstruction(java.lang.String,java.lang.Class,java.lang.Object,java.lang.Object[],java.lang.String[])	identifier	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	InlineBytecodeGenerator(java.lang.instrument.Instrumentation,org.mockito.internal.util.concurrent.WeakConcurrentMap,org.mockito.internal.util.concurrent.DetachedThreadLocal,java.util.function.Predicate,org.mockito.internal.creation.bytebuddy.ConstructionCallback)	instrumentation	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	mockClass(org.mockito.internal.creation.bytebuddy.MockFeatures)	features	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	triggerRetransformation(java.util.Set,boolean)	types	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	triggerRetransformation(java.util.Set,boolean)	flat	1
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	assureCanReadMockito(java.util.Set)	types	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	checkSupportedCombination(boolean,org.mockito.internal.creation.bytebuddy.MockFeatures)	subclassingRequired	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	checkSupportedCombination(boolean,org.mockito.internal.creation.bytebuddy.MockFeatures)	features	1
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	addInterfaces(java.util.Set,java.lang.Class[])	interfaces	1
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	addInterfaces(java.util.Set,java.lang.Class[])	types	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	transform(java.lang.ClassLoader,java.lang.String,java.lang.Class,java.security.ProtectionDomain,byte[])	classBeingRedefined	2
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator	transform(java.lang.ClassLoader,java.lang.String,java.lang.Class,java.security.ProtectionDomain,byte[])	classfileBuffer	4
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper	ParameterWritingVisitorWrapper(java.lang.Class)	type	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper	wrap(net.bytebuddy.description.type.TypeDescription,net.bytebuddy.jar.asm.ClassVisitor,net.bytebuddy.implementation.Implementation.Context,net.bytebuddy.pool.TypePool,net.bytebuddy.description.field.FieldList,net.bytebuddy.description.method.MethodList,int,int)	implementationContext	2
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper	wrap(net.bytebuddy.description.type.TypeDescription,net.bytebuddy.jar.asm.ClassVisitor,net.bytebuddy.implementation.Implementation.Context,net.bytebuddy.pool.TypePool,net.bytebuddy.description.field.FieldList,net.bytebuddy.description.method.MethodList,int,int)	classVisitor	1
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper$ParameterAddingClassVisitor	ParameterAddingClassVisitor(net.bytebuddy.jar.asm.ClassVisitor,net.bytebuddy.description.type.TypeDescription)	cv	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper$ParameterAddingClassVisitor	ParameterAddingClassVisitor(net.bytebuddy.jar.asm.ClassVisitor,net.bytebuddy.description.type.TypeDescription)	typeDescription	1
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper$ParameterAddingClassVisitor	visitMethod(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String[])	access	0
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper$ParameterAddingClassVisitor	visitMethod(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String[])	signature	3
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper$ParameterAddingClassVisitor	visitMethod(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String[])	exceptions	4
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper$ParameterAddingClassVisitor	visitMethod(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String[])	name	1
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator$ParameterWritingVisitorWrapper$ParameterAddingClassVisitor	visitMethod(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String[])	desc	2
