CLASS	METHOD	PARAMETER	INDEX
org.mockito.internal.verification.VerificationModeFactory	atMost(int)	maxNumberOfInvocations	0
org.mockito.internal.verification.VerificationModeFactory	description(org.mockito.verification.VerificationMode,java.lang.String)	description	1
org.mockito.internal.verification.VerificationModeFactory	description(org.mockito.verification.VerificationMode,java.lang.String)	mode	0
org.mockito.internal.MockitoCore	mock(java.lang.Class,org.mockito.MockSettings)	settings	1
org.mockito.internal.MockitoCore	mockStatic(java.lang.Class,org.mockito.MockSettings)	settings	1
org.mockito.internal.MockitoCore	mockConstruction(java.lang.Class,java.util.function.Function,org.mockito.MockedConstruction.MockInitializer)	settingsFactory	1
org.mockito.internal.MockitoCore	verify(T,org.mockito.verification.VerificationMode)	mock	0
org.mockito.internal.MockitoCore	reset(T[])	mocks	0
org.mockito.internal.MockitoCore	clearInvocations(T[])	mocks	0
org.mockito.internal.MockitoCore	verifyNoMoreInteractions(java.lang.Object[])	mocks	0
org.mockito.internal.MockitoCore	verifyNoInteractions(java.lang.Object[])	mocks	0
org.mockito.internal.MockitoCore	verifyNoMoreInteractionsInOrder(java.util.List,org.mockito.internal.verification.api.InOrderContext)	inOrderContext	1
org.mockito.internal.MockitoCore	assertMocksNotEmpty(java.lang.Object[])	mocks	0
org.mockito.internal.MockitoCore	inOrder(java.lang.Object[])	mocks	0
org.mockito.internal.MockitoCore	stubber(org.mockito.quality.Strictness)	strictness	0
org.mockito.internal.MockitoCore	ignoreStubs(java.lang.Object[])	mocks	0
org.mockito.internal.MockitoCore	mockingDetails(java.lang.Object)	toInspect	0
org.mockito.internal.stubbing.InvocationContainerImpl	InvocationContainerImpl(org.mockito.mock.MockCreationSettings)	mockSettings	0
org.mockito.internal.stubbing.InvocationContainerImpl	setInvocationForPotentialStubbing(org.mockito.invocation.MatchableInvocation)	invocation	0
org.mockito.internal.stubbing.InvocationContainerImpl	resetInvocationForPotentialStubbing(org.mockito.invocation.MatchableInvocation)	invocationMatcher	0
org.mockito.internal.stubbing.InvocationContainerImpl	addAnswer(org.mockito.stubbing.Answer,boolean,org.mockito.quality.Strictness)	stubbingStrictness	2
org.mockito.internal.stubbing.InvocationContainerImpl	addAnswer(org.mockito.stubbing.Answer,boolean,org.mockito.quality.Strictness)	isConsecutive	1
org.mockito.internal.stubbing.InvocationContainerImpl	addAnswer(org.mockito.stubbing.Answer,boolean,org.mockito.quality.Strictness)	answer	0
org.mockito.internal.stubbing.InvocationContainerImpl	findAnswerFor(org.mockito.invocation.Invocation)	invocation	0
org.mockito.internal.stubbing.InvocationContainerImpl	setMethodForStubbing(org.mockito.invocation.MatchableInvocation)	invocation	0
org.mockito.internal.stubbing.InvocationContainerImpl	createRegisteredInvocations(org.mockito.mock.MockCreationSettings)	mockSettings	0
org.mockito.internal.stubbing.StubbedInvocationMatcher	StubbedInvocationMatcher(org.mockito.stubbing.Answer,org.mockito.invocation.MatchableInvocation,org.mockito.quality.Strictness)	answer	0
org.mockito.internal.stubbing.StubbedInvocationMatcher	StubbedInvocationMatcher(org.mockito.stubbing.Answer,org.mockito.invocation.MatchableInvocation,org.mockito.quality.Strictness)	strictness	2
org.mockito.internal.stubbing.StubbedInvocationMatcher	addAnswer(org.mockito.stubbing.Answer)	answer	0
org.mockito.internal.stubbing.StubbedInvocationMatcher	markStubUsed(org.mockito.invocation.DescribedInvocation)	usedAt	0
org.mockito.internal.stubbing.DoAnswerStyleStubbing	setAnswers(java.util.List,org.mockito.quality.Strictness)	stubbingStrictness	1
org.mockito.internal.stubbing.DoAnswerStyleStubbing	setAnswers(java.util.List,org.mockito.quality.Strictness)	answers	0
org.mockito.internal.util.collections.ListUtil	filter(java.util.Collection,org.mockito.internal.util.collections.ListUtil.Filter)	collection	0
org.mockito.internal.util.collections.ListUtil	filter(java.util.Collection,org.mockito.internal.util.collections.ListUtil.Filter)	filter	1
org.mockito.internal.util.collections.ListUtil	convert(java.util.Collection,org.mockito.internal.util.collections.ListUtil.Converter)	collection	0
org.mockito.internal.util.collections.ListUtil	convert(java.util.Collection,org.mockito.internal.util.collections.ListUtil.Converter)	converter	1
org.mockito.internal.invocation.InvocationsFinder	findMatchingChunk(java.util.List,org.mockito.invocation.MatchableInvocation,int,org.mockito.internal.verification.api.InOrderContext)	wantedCount	2
org.mockito.internal.invocation.InvocationsFinder	getFirstMatchingChunk(org.mockito.invocation.MatchableInvocation,java.util.List)	wanted	0
org.mockito.internal.invocation.InvocationsFinder	getFirstMatchingChunk(org.mockito.invocation.MatchableInvocation,java.util.List)	unverified	1
