message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path	infos
DEREFERENCE_NULLABLE	dereferenced expression testClassInstance is @Nullable	org.mockito.internal.junit.DefaultTestFinishedEvent	getTestName()	810	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/junit/DefaultTestFinishedEvent.java	null	null	null	null	null	null
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.mockito.internal.verification.api.VerificationDataInOrder.getWanted() returns @NonNull	org.mockito.internal.verification.api.VerificationDataInOrderImpl	getWanted()	950	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/verification/api/VerificationDataInOrderImpl.java	METHOD	org.mockito.internal.verification.api.VerificationDataInOrder	getWanted()	null	null	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/verification/api/VerificationDataInOrder.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.verification.VerificationDataImpl	VerificationDataImpl(org.mockito.internal.stubbing.InvocationContainerImpl,org.mockito.internal.invocation.InvocationMatcher)	965	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/verification/VerificationDataImpl.java	FIELD	org.mockito.internal.verification.VerificationDataImpl	null	wanted	null	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/verification/VerificationDataImpl.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()	1546	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/FieldInitializationReport.java	METHOD	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()	null	null	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/FieldInitializationReport.java
FIELD_NO_INIT	@NonNull static field DISPATCHER not initialized	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	DISPATCHER	1026	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	FIELD	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null	DISPATCHER	null	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null	3234	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	FIELD	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null	DISPATCHER	null	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	newInstance(java.lang.reflect.Constructor,java.lang.Object[])	5293	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	PARAMETER	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	assureArguments(java.lang.reflect.AccessibleObject,java.lang.Object,java.lang.Class,java.lang.Object[],java.lang.Class[])	owner	1	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	newInstance(java.lang.reflect.Constructor,java.lang.Object[])	5293	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	PARAMETER	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	assureArguments(java.lang.reflect.AccessibleObject,java.lang.Object,java.lang.Class,java.lang.Object[],java.lang.Class[])	type	2	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
PASS_NULLABLE	passing @Nullable parameter 'Modifier.isStatic(method.getModifiers()) ? null : target' where @NonNull is required	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	invoke(java.lang.reflect.Method,java.lang.Object,java.lang.Object[])	6387	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	PARAMETER	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	assureArguments(java.lang.reflect.AccessibleObject,java.lang.Object,java.lang.Class,java.lang.Object[],java.lang.Class[])	owner	1	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
PASS_NULLABLE	passing @Nullable parameter 'Modifier.isStatic(field.getModifiers()) ? null : target' where @NonNull is required	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	get(java.lang.reflect.Field,java.lang.Object)	7640	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	PARAMETER	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	assureArguments(java.lang.reflect.AccessibleObject,java.lang.Object,java.lang.Class,java.lang.Object[],java.lang.Class[])	owner	1	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
PASS_NULLABLE	passing @Nullable parameter 'Modifier.isStatic(field.getModifiers()) ? null : target' where @NonNull is required	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	set(java.lang.reflect.Field,java.lang.Object,java.lang.Object)	8614	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	PARAMETER	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	assureArguments(java.lang.reflect.AccessibleObject,java.lang.Object,java.lang.Class,java.lang.Object[],java.lang.Class[])	owner	1	/home/nima/Developer/nullness-benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java
