REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Short	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Short	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Integer	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Integer	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Long	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Long	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Float	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Float	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_TYPES	PRIMITIVE_TYPES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Double	SOURCE
org.mockito.internal.util.Primitives	null	TYPE	java.lang.Double	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Boolean	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Character	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Byte	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Short	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Integer	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Long	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Float	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	java.lang.Double	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.internal.util.Primitives	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	PRIMITIVE_OR_WRAPPER_DEFAULT_VALUES	org.mockito.internal.util.Primitives	SOURCE
org.mockito.internal.util.Primitives	null	class	null	SOURCE
org.mockito.ArgumentCaptor	ArgumentCaptor(java.lang.Class)	clazz	org.mockito.ArgumentCaptor	SOURCE
org.mockito.ArgumentCaptor	ArgumentCaptor(java.lang.Class)	this	org.mockito.ArgumentCaptor	SOURCE
org.mockito.ArgumentCaptor	capture()	capturingMatcher	org.mockito.ArgumentCaptor	SOURCE
org.mockito.ArgumentCaptor	capture()	clazz	org.mockito.ArgumentCaptor	SOURCE
org.mockito.ArgumentCaptor	getValue()	capturingMatcher	org.mockito.ArgumentCaptor	SOURCE
org.mockito.ArgumentCaptor	getValue()	this	org.mockito.ArgumentCaptor	SOURCE
org.mockito.ArgumentCaptor	getAllValues()	capturingMatcher	org.mockito.ArgumentCaptor	SOURCE
org.mockito.ArgumentCaptor	getAllValues()	this	org.mockito.ArgumentCaptor	SOURCE
org.mockito.internal.exceptions.Reporter	missingMethodInvocation()	NON_PUBLIC_PARENT	org.mockito.internal.exceptions.Reporter	SOURCE
org.mockito.internal.exceptions.Reporter	unfinishedVerificationException(org.mockito.invocation.Location)	NON_PUBLIC_PARENT	org.mockito.internal.exceptions.Reporter	SOURCE
org.mockito.internal.exceptions.Reporter	cannotStubVoidMethodWithAReturnValue(java.lang.String)	NON_PUBLIC_PARENT	org.mockito.internal.exceptions.Reporter	SOURCE
org.mockito.internal.exceptions.Reporter	misplacedArgumentMatcher(java.util.List)	NON_PUBLIC_PARENT	org.mockito.internal.exceptions.Reporter	SOURCE
org.mockito.internal.exceptions.Reporter	possibleArgumentTypesOf(org.mockito.invocation.InvocationOnMock)	length	Array	SOURCE
org.mockito.internal.exceptions.Reporter	possibleArgumentTypesOf(org.mockito.invocation.InvocationOnMock)	length	Array	SOURCE
org.mockito.internal.exceptions.Reporter	possibleArgumentTypesOf(org.mockito.invocation.InvocationOnMock)	length	Array	SOURCE
org.mockito.internal.matchers.CapturingMatcher	lock	lock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	lock	lock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	getLastValue()	readLock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	getLastValue()	arguments	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	getLastValue()	arguments	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	getLastValue()	arguments	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	getLastValue()	readLock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	getAllValues()	readLock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	getAllValues()	arguments	org.mockito.internal.matchers.CapturingMatcher	SOURCE
