kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	findAnswerFor(org.mockito.invocation.Invocation)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	RETURN_NULLABLE	nullable	org.mockito.internal.stubbing.InvocationContainerImpl	findAnswerFor(org.mockito.invocation.Invocation)
FIELD	org.mockito.internal.stubbing.StubbedInvocationMatcher	null	usedAt	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/StubbedInvocationMatcher.java	METHOD_NO_INIT	nullable	org.mockito.internal.stubbing.StubbedInvocationMatcher	null
FIELD	org.mockito.internal.stubbing.DoAnswerStyleStubbing	null	stubbingStrictness	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/DoAnswerStyleStubbing.java	FIELD_NO_INIT	nullable	org.mockito.internal.stubbing.DoAnswerStyleStubbing	null
FIELD	org.mockito.internal.stubbing.DoAnswerStyleStubbing	null	stubbingStrictness	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/DoAnswerStyleStubbing.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.stubbing.DoAnswerStyleStubbing	clear()
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	typeToMock	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	name	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	spiedInstance	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	defaultAnswer	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	mockName	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	outerClassInstance	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	constructorArgs	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
METHOD	org.mockito.internal.configuration.plugins.PluginInitializer	<T>loadImpl(java.lang.Class<T>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/PluginInitializer.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.plugins.PluginInitializer	<T>loadImpl(java.lang.Class<T>)
PARAMETER	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	<T>create(java.lang.Class<T>,java.lang.String)	className	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/DefaultMockitoPlugins.java	PASS_NULLABLE	nullable	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	<T>getDefaultPlugin(java.lang.Class<T>)
PARAMETER	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	<T>create(java.lang.Class<T>,java.lang.String)	className	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/DefaultMockitoPlugins.java	PASS_NULLABLE	nullable	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	<T>getDefaultPlugin(java.lang.Class<T>)
METHOD	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	getDefaultPluginClass(java.lang.String)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/DefaultMockitoPlugins.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	getDefaultPluginClass(java.lang.String)
PARAMETER	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	<T>create(java.lang.Class<T>,java.lang.String)	className	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/DefaultMockitoPlugins.java	PASS_NULLABLE	nullable	org.mockito.internal.configuration.plugins.DefaultMockitoPlugins	getInlineMockMaker()
PARAMETER	org.mockito.internal.configuration.plugins.PluginInitializer	PluginInitializer(org.mockito.plugins.PluginSwitch,java.lang.String,org.mockito.internal.configuration.plugins.DefaultMockitoPlugins)	alias	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/PluginInitializer.java	PASS_NULLABLE	nullable	org.mockito.internal.configuration.plugins.PluginLoader	PluginLoader(org.mockito.plugins.PluginSwitch)
PARAMETER	org.mockito.internal.configuration.plugins.PluginLoader	<PreferredType,AlternateType>loadPlugin(java.lang.Class<PreferredType>,java.lang.Class<AlternateType>)	alternatePluginType	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/PluginLoader.java	PASS_NULLABLE	nullable	org.mockito.internal.configuration.plugins.PluginLoader	<T>loadPlugin(java.lang.Class<T>)
METHOD	org.mockito.internal.configuration.plugins.PluginFileReader	readPluginClass(java.io.InputStream)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/PluginFileReader.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.plugins.PluginFileReader	readPluginClass(java.io.InputStream)
PARAMETER	org.mockito.internal.util.io.IOUtil	closeQuietly(java.io.Closeable)	closeable	0	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/util/io/IOUtil.java	PASS_NULLABLE	nullable	org.mockito.internal.configuration.plugins.PluginFinder	findPluginClass(java.lang.Iterable<java.net.URL>)
METHOD	org.mockito.internal.configuration.plugins.PluginFinder	findPluginClass(java.lang.Iterable<java.net.URL>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/plugins/PluginFinder.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.plugins.PluginFinder	findPluginClass(java.lang.Iterable<java.net.URL>)
METHOD	org.mockito.ArgumentMatchers	<T>anyObject()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>anyObject()
METHOD	org.mockito.ArgumentMatchers	<T>anyVararg()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>anyVararg()
METHOD	org.mockito.ArgumentMatchers	<T>eq(T)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>eq(T)
METHOD	org.mockito.ArgumentMatchers	<T>refEq(T,java.lang.String...)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>refEq(T,java.lang.String...)
METHOD	org.mockito.ArgumentMatchers	<T>same(T)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>same(T)
METHOD	org.mockito.ArgumentMatchers	<T>isNull()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>isNull()
METHOD	org.mockito.ArgumentMatchers	<T>notNull()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>notNull()
METHOD	org.mockito.ArgumentMatchers	<T>argThat(org.mockito.ArgumentMatcher<T>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/ArgumentMatchers.java	RETURN_NULLABLE	nullable	org.mockito.ArgumentMatchers	<T>argThat(org.mockito.ArgumentMatcher<T>)
