id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
52	org.mockito.mock.MockCreationSettings	getSpiedInstance()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
53	org.mockito.mock.MockCreationSettings	isSerializable()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
54	org.mockito.mock.MockCreationSettings	getSerializableMode()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
55	org.mockito.mock.MockCreationSettings	isStubOnly()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
56	org.mockito.mock.MockCreationSettings	isStripAnnotations()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
57	org.mockito.mock.MockCreationSettings	getStubbingLookupListeners()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
58	org.mockito.mock.MockCreationSettings	getInvocationListeners()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
59	org.mockito.mock.MockCreationSettings	getVerificationStartedListeners()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
60	org.mockito.mock.MockCreationSettings	isUsingConstructor()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
61	org.mockito.mock.MockCreationSettings	getConstructorArgs()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
62	org.mockito.mock.MockCreationSettings	getOuterClassInstance()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
63	org.mockito.mock.MockCreationSettings	isLenient()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
64	org.mockito.mock.MockName	toString()	65	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockName.java
66	org.mockito.mock.MockName	isDefault()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/mock/MockName.java
67	org.mockito.listeners.VerificationStartedEvent	setMock(java.lang.Object)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/VerificationStartedEvent.java
68	org.mockito.listeners.VerificationStartedEvent	getMock()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/VerificationStartedEvent.java
69	org.mockito.listeners.MethodInvocationReport	getInvocation()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
70	org.mockito.listeners.MethodInvocationReport	getReturnedValue()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
71	org.mockito.listeners.MethodInvocationReport	getThrowable()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
72	org.mockito.listeners.MethodInvocationReport	threwException()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
73	org.mockito.listeners.MethodInvocationReport	getLocationOfStubbing()	0	0	[]	true	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
74	org.mockito.invocation.DescribedInvocation	toString()	65	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/DescribedInvocation.java
75	org.mockito.invocation.DescribedInvocation	getLocation()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/DescribedInvocation.java
76	org.mockito.invocation.Location	toString()	65	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Location.java
77	org.mockito.invocation.Location	getSourceFile()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Location.java
78	org.mockito.listeners.StubbingLookupEvent	getInvocation()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
79	org.mockito.listeners.StubbingLookupEvent	getStubbingFound()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
80	org.mockito.listeners.StubbingLookupEvent	getAllStubbings()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
81	org.mockito.listeners.StubbingLookupEvent	getMockSettings()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
82	org.mockito.invocation.Invocation	isVerified()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
83	org.mockito.invocation.Invocation	getSequenceNumber()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
84	org.mockito.invocation.Invocation	getLocation()	75	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
85	org.mockito.invocation.Invocation	getRawArguments()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
